//星级|名称
Star_Lv1|一星
intro21003|主要攻击方向的西翼，一大批法国突击队降落在了第格雷，并试图摧毁德国的炮兵掩体。代号罗密欧行动。祝你好运！
intro21004|英国军队第2伞兵旅准备进行滑翔降落作战，前方目标看起来很有战略价值。让我们来一次突然袭击，以捣毁德国军队在该地区的指挥中心。祝你好运！
intro21005|炮兵463团的两个连发现这是一处军用火车站。据说明天会有3辆满载军用战略物资的列车通过这里。截获他们祝你好运!
intro21006|第45步兵师受命在三角洲海滩中心（圣特罗佩）登陆。昨天驻守在这里的德国军队部队有部分被临时征调，如今正是防守空虚的时候。抓住机会，拿下它。祝你好运！
intro21007|降落在乐吕克地区的第1空降特遣队负责向两翼的法国军队突击队提供支援，代号橄榄行动。祝你好运！
intro21008|美国军队第517伞兵团级战斗队准备进行滑翔降落作战，前方的目标看起来很有战略价值。让我们来一次突然袭击，以捣毁德国在该地区的指挥中心。祝你好运！
intro21009|法国军队伞兵第一团准备进行滑翔降落作战，前方目标拥有极大的战略价值。这座桥梁是该地区重要的交通枢纽，拿下它坚持到增援部队的到来。祝你好运！
intro21010|第32步兵师受命在骆驼海滩右边登陆，敌人的火力配备十分完善，不惜一切代价，击溃他们。祝你好运！
intro21011|第1特别行动队受命攻占前方区域，以保护滩头阵地，代号锡特卡行动。祝你好运！
intro21012|隶属第509伞兵营的美国军队混合伞降/滑翔机团级战斗队准备进行滑翔降落作战，前方目标拥有极大的战略价值。祝你好运！
intro21013|两个75毫米炮兵营发现德国军队的坦克部队正在附近集结，并准备发起一波反扑攻势，先发制人击溃他们。祝你好运！
intro21014|美国军队第93后勤医疗队在圣马克西姆登陆，有消息称一批即将转移的弹药及补给品就储存在这个仓库中。祝你好运！
intro21015|部署了滑翔机的第550空降步兵营，第一营及第551伞兵营受命执行白鸽行动。有消息称一批补给明天一早将会通过这里运往南线，截获他们。祝你好运！
intro21016|第88特混舰队受命以炮火支援登陆行动。近期德军用运输车频繁的在这里进出，另外守备力量也进行了加强，摧毁他们。祝你好运！
intro21017|反坦克炮兵连发现前方的学校其实是德国军队装甲部队的临时驻地，趁现在他们还没发现，让坦克成为他们的坟墓。祝你好运！
intro_strategy01|指挥官我们发现了敌军的兵工厂，摧毁这个兵工厂可以降低敌方的生产能力。重要的是我们还能从战利品当中获得进阶坦克所需要的零件。
intro_strategy03|敌人的核心要塞就在眼前了，摧毁要塞我们才能获得这个战区的所有权。注意：敌人很强大我们需要谨慎行事。
intro_strategy05|前方就是敌军的炼油厂了，占领该区域我们就可以周期性的获得燃油补给了。
intro_strategy06|敌军对我方据点发动了突袭，守住该据点我们才能继续向前推进。利用防御阵型给地方迎头痛击。
intro_strategy07|敌军的后勤基地？突袭那里我们就可以获得大量的建造材料，圣建日就在眼前！
intro_strategy08|敌人拉开架势看样子要和我们大干一场了。占领优势地形能极大的提高胜率。
intro_strategy21|敌方部队正在休整，我们不能给他们喘息之机。冲进敌方阵营将他们一网打尽！
intro_strategy22|敌方在交战区不断空头坦克部队。在他们未站住脚跟之前让我们把他炸成废铜烂铁。
intro_strategy23|狭路相逢勇者胜！我们与敌军正面遇到！向前冲！胜利将属于我们！
intro_strategy25|敌人的火炮不断地攻击我方阵地！我们绕过去，突袭敌人后方剿灭这烦人的火炮连。
intro_strategy28|前方是敌人的机场，冲进去摧毁它们！这样就不用担心那些破鸟天天在脑袋上乱晃了。
intro_strategy29|敌人的战舰在不断地给予前线火炮支援，这让我们损失惨重。杀到海边去，让战舰尝尝炮弹的滋味。
BarbaDesc_220001|东线南段，龙德斯泰特元帅的南方集团军群正在向乌克兰挺进。第1装甲兵团正在强渡布格河，打算攻占基辅。
BarbaDesc_220003|7月7日第一装甲集群突破苏联日托米尔，别尔季切夫防线，打开了通向基辅的大门。
BarbaDesc_220005|德国中央集团军群在博洛元帅指挥下，其先头部队已经推进到了第聂伯河，别列津纳河与西德维纳河一线。俄罗斯重镇“莫斯科国门户”斯摩梭斯克已处于德国军队严重威胁之下
BarbaDesc_220007|渡过第聂伯河的这两只强大的装甲集群没有理会仍在沿岸抵抗的大量苏联军队，而迅速向苏联纵深挺进！
BarbaDesc_220009|苏联第21集团军也不失时机的采取了攻势，试图绕到德国军队后方，威胁古德里安第2装甲集群的侧翼，配合处境危险的苏联第13集团军。
BarbaDesc_220011|德国军队第1718装甲师和摩托化第47军在遭受巨大损失后，基本肃清了斯摩棱斯克城区苏联，但在此地域被围的苏联第161920集团军还未完全被歼灭。
BarbaDesc_220013|8月9日，古德里安集团军集群和第2集团军又从罗斯拉夫尔到日洛宾一线南下，发动了戈梅利战役。目的在于消除中央集团军群南翼的威胁，打垮苏联中央方面军。
BarbaDesc_220015|1941年8月25日凌晨5时，古德里安的第2装甲集群从斯塔罗杜布地域出发，开始南下作战。在右翼部署的是装甲兵上将施卫彭堡的第24摩托化军，左翼是莱梅尔森的第47摩托化军。
BarbaDesc_220017|同时，库兹涅佐夫上将指挥的第21集团军则协同西南方面军的第5、40集团军，挡住德国军队第装甲集群所属的摩托化第24军和第2集团军所属的第43、13军和第35军纪司令部，阻止他们渡过杰纳斯河。
BarbaDesc_220019|8月28日20时，德国南方集团军群指挥部发布了1850/41号绝密文件。
BarbaDesc_220021|9月6日，德国军队第2、6、17集团军，第1、2装甲集群，总计57个师，一百万兵员，581辆坦克，约600架战机的庞大兵力，开始发起对苏联西南方面军的大包围作战。
BarbaDesc_220023|德国军队第2集团军攻占了切尔尼戈夫，并与德国军队第6集团军左翼第51军会合，这个军在9月6日突破杰纳斯河防线，并在该河以东的米洛夫斯克附近建立了登陆场。
BarbaDesc_220025|根据突围的计划，库兹涅佐夫上将的第2l集团军必须在9月18日凌晨全部集中于普里卢基东南的布拉金齐、格列金齐一线，向德国军队第2装甲集盘踞下的罗姆内实施猛烈突击，力图杀出一条血路。
BarbaDesc_220027|弗拉索大中将的第37集团军负责为整个方面军担任后卫。他的集团军在退出基辅后，应撤退到第聂伯河左岸并向卢布内以北的皮里亚京发动进攻，然后东进突围。
BarbaDesc_220029|9月20，21日，苏联第26集团军向克莱斯特第1装甲集群正面猛冲过来，在德国军队第16装甲师防御的奥尼什基河地段强渡成功。
//战役剧情说明
BattleDes_30101|我们接到总部的命令，我们被指派连接登陆区并主导对瑟堡的进攻。
BattleDes_30102|连接登区最后的阻碍是一座沙滩要塞，应提供支援的海军因为大潮不能出动，靠我们自己击败德军！
BattleDes_30103|从瑟堡港向瑟堡市区进发，小心路上的拦截！
BattleDes_30104|我们发现了德军的野战机场。现在天气恶劣，他们跑不了了！
BattleDes_30105|最后的据点由舒尔茨上尉带队坚守——还有他的精英坦克。决战的时候到了。
BattleDes_30201|德军的精英装甲先锋已经接近两国国界，请随义军阻击他们。
BattleDes_30202|夏尔警告只招来了法军高层的嗤笑，现在只能依靠自己了，请尽力阻击德军。
BattleDes_30203|德军出乎意料的选择了绕过了马奇诺防线，请尝试拦截正在绕路的德军。
BattleDes_30204|为了方便渡河，德军在河岸建立了2个登陆场，请尽快占领并摧毁它。
BattleDes_30205|德军的火炮指挥官穆勒在登录场上布置了大量炮兵和工事，来掩护他们的部队。
BattleDes_30206|戈林的空军在侵扰我们，请小心空袭，并消灭追击的德军指挥官。
BattleDes_30207|友军玛蒂尔达的被放平的88炮击穿了，请迅速支援守军。
BattleDes_30208|骷髅部队的指挥官纠集了三门88炮，请小心这些平射的火炮，并消灭他们。
BattleDes_30209|英国空军为了掩护撤退，出动2800次飞机，有力抗击了德军空袭，趁机打击德军。
BattleDes_30210|作为最后一批守卫，在英船只驶离前掩护撤退的部队，狙击追击来的敌人。
BattleDes_30301|敦刻尔克战役之后，北部的德军整编完成，即将南下。请率部消灭敌人的侦察部队。
BattleDes_30302|为了协同陆军进攻，德国空军进行了大规模的轰炸！请在飞机轰炸中击退敌军。
BattleDes_30303|消灭了小股部队之后，转进去支援在两翼的友军。
BattleDes_30304|在撤向巴黎的途中，埋伏在213高地，伏击向巴黎挺进的德军装甲旅。
BattleDes_30305|伏击了部分德军，继续撤退，去与友军会合。
BattleDes_30306|友军已经在左右翼的防线上崩溃，我们被包围在了175号公路上，敌军大股部队已经插了过来。
BattleDes_30307|突围之后，德军指挥官魏特曼，还有支援他的101重坦克营，要夺回波卡基，这注定是一场恶战。
BattleDes_30308|为了抵挡德军的虎式坦克，上级派了萤火虫式来支援我们。
BattleDes_30309|波卡基是我们行军路线的重要路线，我们不得不重新夺回波卡基。
BattleDes_30310|魏特曼和他的虎式坦克，如同钢铁死神一样，拦住了前进的路。
BattleDes_30311|随着越来越多的萤火虫支援进来，魏特曼的部队已经快要顶不住我们的强烈进攻。波卡基即将解放。
BattleDes_30312|时代属于那些荣耀加身的战士，他们如同传奇一般，被后人敬仰。
BattleDes_30401|和友军部队一起，会师法莱斯，合围敌军，切断他们的退路。
BattleDes_30402|在岸边坚持等待友军完成登陆。德军第二十二装甲旅指挥官“硕鼠”在滩头防守。
BattleDes_30403|来自加拿大的燧枪连前来增援，请为联军开辟道路！这将是一条危险的不归路。
BattleDes_30404|来自司令部的特殊命令要求你的小队脱离大部队，执行特殊的任务。大部队会掩护你的小队。
BattleDes_30405|请悄无声气的接近目标地点，避免打草惊蛇。
BattleDes_30406|请迅速到达指定地点，联军将为我们牵制敌人，但他们无法支撑很久，请争取时间，即刻动身！
BattleDes_30407|雷达站已近在咫尺，德国人不愿意就这么让我们通过，消灭他们！
BattleDes_30408|我们已经到达雷达站，请清除附近的巡逻队。
BattleDes_30409|情报指示密码就就在此处，进攻雷达站，寻找密码机。
BattleDes_30410|敌人将密码机藏匿到了重型坦克上，摧毁它并抢到机器！帝国军的电报将被悉数破解，历史也将被改写！
BattleDes_30411|敌人的坦克逃跑了！我们确信恩格玛机器就在那辆重型坦克上，追上去！
BattleDes_30412|击败重坦抢夺密码机。帝国军的电报将被悉数破解，历史也将被改写。
BattleDes_30501|敌人指挥官伦德施泰特的南方集团军排山倒海般涌进波兰，请尽快赶往西盘半岛，与波军汇合！
BattleDes_30502|敌人采用闪击战术，迅速占领了波兰大量领土，加快进军，友军需要我们！
BattleDes_30503|敌人企图从各个方向登上半岛，请破坏掉敌人撘造的浮桥！
BattleDes_30504|在半岛上与敌人的主力决战！
BattleDes_30505|副官已经向法国方面求援，请利在废墟中拖延敌人的装甲部队。
BattleDes_30506|法军委婉的拒绝了援军的要求，现在只能靠我们自己了！
BattleDes_30507|在华沙坚持巷战已经逐渐失去了意义，我们要去克拉克夫见一个人。
BattleDes_30508|将工人护送到逃往法国的火车！
BattleDes_30509|保护因解救工人而被德国追杀的辛德勒先生，击败追兵。
BattleDes_30510|向中立的低地三国的道路已经被封锁，我们只得向东逃窜。
BattleDes_30511|敌人追上了我们，请击败追击的敌人！
BattleDes_30512|冲破敌人的封锁，逃出包围。
BattleDes_30513|我们逃到了波罗地海的港口，请击败港口守军，夺船向斯堪维亚前进！
BattleDes_30514|港口的敌军指挥官要抓捕辛德勒回国审判，请保护辛德勒，与敌人指挥官决战！
BattleDes_30601|与辛德勒分别后，苏联入侵了卡累利阿地区，请加入到芬兰的抗击侵战斗中。
BattleDes_30602|我们在雪原上遭遇了苏联第九集团军麾下装甲旅，请阻击他们。
BattleDes_30603|苏联对拉多加湖沿岸发起了进攻，请在河岸阻击敌人。
BattleDes_30604|在收拾“柴堆”的过程中，遇到了埋伏的敌军指挥官安德烈，小心他的KV重坦！
BattleDes_30605|敌人的指挥官已经率部赶来，请向防线撤退！
BattleDes_30606|坚守曼纳海姆防线。
BattleDes_30607|贝萨谋地区的大量积雪拖延了苏联的进军速度，请趁机消灭敌人。
BattleDes_30608|敌人正朝着维堡进军，请阻击前来的敌军。
BattleDes_30609|维堡的陷落已经不可挽回，冲出安德烈的包围，向西撤退！
BattleDes_30610|传奇狙击手西蒙在雪原中失去了音讯，芬兰方面希望我们能找到他。
BattleDes_30611|我们在深林中找到了受伤的西蒙，但是显然正在寻找他的不仅仅是我们，击败搜捕西蒙的苏军！
BattleDes_30612|我们的医生正在对西蒙展开急救，请拖延时间！
BattleDes_30613|获悉了西蒙所在地的安德烈组织了大部追兵，请尽快摆脱他们！
BattleDes_30614|安德烈追上了我们！一场恶战在所难免！
BattleDes_30701|在收到了来自红军的求援电报后，我们决定前进至要塞，帮助受困的红军。
BattleDes_30702|我们来到了布列斯特近郊，请突破围攻的德军，援助要塞。
BattleDes_30703|要塞内情况恶劣，物资紧缺，请和苏军联手抵御进攻。
BattleDes_30704|在扎里夫洛夫上校的引开了德军，请在他的掩护下，全力突破德军的封锁。
BattleDes_30705|曼施坦因发明的突击炮迅速摧垮了附近的大量机枪碉堡，我们得消灭这些突击炮！
BattleDes_30706|基辅要塞区的第一道防线沿河而建，请守住渡口，坚守防线！
BattleDes_30707|德军对乌曼的合围即将完成，请在被彻底围死前，撤退到东部。
BattleDes_30708|德6集团军装备了重型火炮，火焰喷射器和突击炮，请援护那些即将被攻破的地堡。
BattleDes_30709|在第聂伯河的基辅北边流域防御德军。
BattleDes_30710|安德烈意识到形式严峻，向司令部请示撤退，请在期间防守基辅。
BattleDes_30711|莫斯科拒绝了撤退请求，并下达了最高命令，要求我们死守基辅！
BattleDes_30712|巴格拉米扬将军组织了特别行动队，请随行动队进行突围。
BattleDes_30713|安德烈计划和巴格拉米扬将军分兵，用机械部队向北突围。
BattleDes_30714|与安德烈突破拦截的德军。
BattleDes_30715|与安德烈的部队共同击退追击的德军指挥官。
BattleDes_30801|在去往斯摩棱斯克的路上有大片的森林，请小心行军！
BattleDes_30802|安德烈建议我们每前进一定距离就砍倒一颗大树来阻止追兵，请占领几个伐木地点。
BattleDes_30803|在夜间的森林中行军，小心隐蔽的敌军。
BattleDes_30804|在斯摩棱斯克战的郊区，我们遇到了拦截的敌人指挥官，请击败他。
BattleDes_30805|向西部的德军防线发起进攻，我们的目标是推倒221号碉堡。
BattleDes_30806|跟随苏后备方面军进攻包围圈，解救被围的苏军。
BattleDes_30807|与被解救的苏军回到城市，击退沿途敌人。
BattleDes_30808|苏军损失惨重，德军也相当疲惫，双方进入了拉锯阶段。
BattleDes_30809|整个城市都因为空袭燃烧了起来，我们的部队在承受损失，快逃出城市！
BattleDes_30810|苏军高层认为，拉锯战已经持续了太久，要求我们发动主动出击。
BattleDes_30811|苏军高层严重低估了德军的防线，然而安德烈还在进攻，请帮助他击败德军指挥官。
BattleDes_30812|安德烈直冲敌方的前线指挥部，请配合他急行军。
BattleDes_30813|敌方的指挥部近在眼前，配合安德烈发起偷袭。
BattleDes_30814|我们中了敌方指挥官威廉的埋伏，陷入了包围，请争取突围！
BattleDes_30815|安德烈要求我们在他发动攻击后，撤出战场保留实力，请击败沿途的德军。
BattleDes_30816|安德烈的总攻开始了，这是他最后的战斗，请按计划与他分别，率部向东撤退，逃脱威廉的追击。
BattleDes_30901|盟军第1空降军团正准备大规模的空降，请消灭附近敌人的防空火力点。
BattleDes_30902|我们参与到了花园行动中，请随30军向伞兵的阵地支援。
BattleDes_30903|英空军第1师急需支援，请脱离30军，快速向阿纳姆地区进发。
BattleDes_30904|德国的守将莫德尔获得了盟军的计划，击败拦截的敌军与Y军伞兵汇合。
BattleDes_30905|为了获取凯丽的信任，协同凯丽进攻大桥。
BattleDes_30906|阿纳姆大桥附近碰巧有近万人的敌人部队在修正，请迅速从大桥撤离！
BattleDes_30907|德军少校史塔德在少将阵亡后迅速控制了局面，并用压倒性的兵力发动了进攻，请迅速撤退！
BattleDes_30908|阿纳姆地区的大雾给本来就混乱的空投补给带来更大困难，请达到指定位置搭建空投信标。
BattleDes_30909|我们绕开了德军的正面防线，现在请搜寻总部为我们空投的反装甲武器。
BattleDes_30910|消灭前来寻找补给的德军部队。
BattleDes_30911|请坚持作战，等待30军的消息。
BattleDes_30912|科莉的执意要与2营共进退，请帮助他们。
BattleDes_30913|事态失去了控制，史塔德切断了主干道路。2营决定与敌人死斗，请带走科丽逃离桥头。
BattleDes_30914|我们抵达了桥头，清除附近的防空火力，等待B-26前来轰炸。
BattleDes_30915|B-26姗姗来迟，清除敌人增援的防空部队。
BattleDes_30916|B-26中队开始轰炸了，请趁乱撤出战区。小心史塔德不会轻易放弃追击！
BattleDes_31001|登上马赛港附近的滩头，清缴附近的敌人。
BattleDes_31002|敌人在港口设置了战线企图封锁我们，突破这些无用的防御。
BattleDes_31003|布伦史塔德上将向我们不停的倾泻舰炮炮火，干掉敌人的炮兵侦察车，彻底驱逐他们！
BattleDes_31004|在伊比利亚半岛附近，小心附近的西班牙人。
BattleDes_31005|这儿距离西班牙并不远，而附近正是西班牙游击队活动的区域，小心现在弗朗哥在暗中帮助德国。
BattleDes_31006|我们的侧翼遭到了西班牙义军的攻击，请击败他们。
BattleDes_31007|西班牙游击队严重拖延了我们的行军，请突破他们的阻碍，赶回行军进度。
BattleDes_31008|与中立国家交战并无意义，请击杀西班牙的法西斯军官，结束与游击队的纠缠。
BattleDes_31009|里昂是法国交通重镇，向里昂进发并消灭沿途的德军。
BattleDes_31010|我们找到了失联的伞兵，他们被包围了，请帮助他们击退德军。
BattleDes_31011|到达指定的位置，并回收预先空投过的物资，请小心森林中的德军。
BattleDes_31012|击败德军，抢回物资。
BattleDes_31013|科莉说明了他们空降到此的任务，请帮助她。
BattleDes_31014|悄悄的向任务地点进发，在德军发出警报前，消灭他们。
BattleDes_31015|雷诺自告奋勇的去安装炸弹，请在安装完成前消灭阻拦的德军。
BattleDes_31016|撤离道路并且启动爆炸装置。
BattleDes_31101|1944年6月，盟军登陆诺曼底开辟第二战场，对帝国军团展开追击。
BattleDes_31102|巴顿率领的盟军第3集团军率先冲出，迂回齐格菲防线，直取鲁尔。
BattleDes_31103|盟军出动大量军队发动了人类战争史上规模最大的空降作战。
BattleDes_31104|1944/9/17，第30军命令“花园部队”对帝国防御部队的五个营发动攻击。
BattleDes_31105|盟军根本不知道，在预定着陆的地区，帝国军已经部署了党卫军第2装甲军的两个装甲师和空降第1集团军的部分部队。
BattleDes_31106|缺少重型装备的盟军空降兵在帝国装甲兵头上空降，被高射炮不断设计，很多人还没落地就已经死了。
BattleDes_31107|盟军发起空中突击不过两小时后，帝国空降司令司徒登在打落的滑翔机中获取了一份作战命令。
BattleDes_31108|获取了战报的帝国军队，抓住空降部队的重大缺点，实施了强力反击。
BattleDes_31109|第101空降师在费舍尔地区空降后夺去了南威廉斯运河大桥并攻占了宗镇。
BattleDes_31110|第82空降师在赫拉佛地区空降，当日夺取马斯河和马斯河·瓦尔河大桥。19日会合地面部队。
BattleDes_31111|2支空降部队伤亡了将近4000人，才与地面部队会师。
BattleDes_31112|由于战线拖长，装甲部队前进停止，盟军的供给不得不一减再减。
BattleDes_31113|9月27—29日，盟军部分部队进至下莱茵河南岸，但被迫转入防御，未能在北岸夺得登陆场。
BattleDes_31114|突围之后的小股部队向己方大部队集结。
BattleDes_31115|集结的路上遭到了帝国军队强力的阻击。
BattleDes_31116|部队的有生力量在不断的消亡，盟军领导者们开始意识到这次战役并不明智。
BattleDes_31117|剩余的有生力量终于集结到一起，但是伤亡数字令人咂舌，这是一次失败的战役。
BattleDes_31118|经历了这次失败的“花园行动”，让盟军对帝国军更是恨之入骨，下一场大战正在筹划当中。
BattleDes_31201|“花园行动”的失败让盟军展开了另外一场战役。
BattleDes_31202|盟军远征军最高司令部将战役目标聚焦在了德国工业心脏地区-鲁尔地区。
BattleDes_31203|霍奇斯将军的第一集团军奉命在亚琛地区突破“齐格菲”防线。
BattleDes_31204|M军在亚琛西北面进攻的同时，也在西南面的施托尔贝格附近发动进攻，企图包围亚琛。
BattleDes_31205|在战争达到白热化程度的时候，盟军的第30步兵师获得了第2装甲师的增援。
BattleDes_31206|在补充兵力之后，盟军又开始了自己的小范围突破，然后合围亚琛的计划。
BattleDes_31207|在亚琛的小巷中，展开了非常惨烈的巷战。
BattleDes_31208|M军给地面部队提供了第9航空队的空中支援。
BattleDes_31209|新的空中支援负责空袭了帝国军防线上75%的堡垒工事，盟军取得制空权。
BattleDes_31210|盟军摧毁帝国军堡垒工事之后，如果不迅速转战，就会遭到帝国军的强力反击。
BattleDes_31211|第三30步兵师渡武尔姆河的时候遭到了帝国军的伏击。
BattleDes_31212|盟军的步兵师在这里经历了一场极为残酷的逐屋争夺战。
BattleDes_31213|盟军的一名战士，用自己的身躯压住了一枚帝国军手榴弹，拯救了另外2名战友的生命。
BattleDes_31214|在夺取亚琛城的同时，还要面对帝国军的反击，战况十分惨烈。
BattleDes_31215|盟军在亚琛城内遭到了帝国军的顽强抵抗。帝国军利用复杂的街道实施游击战。
BattleDes_31216|第10月18日，盟军进攻奎伦霍夫酒店，这是帝国军最后的抵抗据点。
BattleDes_31217|在炮击据点之后，盟军终于攻克了亚琛中心地带。
BattleDes_31218|亚琛城防司令格哈德·维尔克上校放下武器投降，亚琛战役盟军取得最后胜利。
BattleDes_31301|亚琛城防司令格哈德·维尔克上校放下武器投降，亚琛战役盟军取得最后胜利。
BattleDes_31302|亚琛城防司令格哈德·维尔克上校放下武器投降，亚琛战役盟军取得最后胜利。
BattleDes_31303|亚琛城防司令格哈德·维尔克上校放下武器投降，亚琛战役盟军取得最后胜利。
BattleDes_31304|亚琛城防司令格哈德·维尔克上校放下武器投降，亚琛战役盟军取得最后胜利。
BattleDes_31305|亚琛城防司令格哈德·维尔克上校放下武器投降，亚琛战役盟军取得最后胜利。
BattleDes_31306|亚琛城防司令格哈德·维尔克上校放下武器投降，亚琛战役盟军取得最后胜利。
BattleDes_31307|亚琛城防司令格哈德·维尔克上校放下武器投降，亚琛战役盟军取得最后胜利。
BattleDes_31308|亚琛城防司令格哈德·维尔克上校放下武器投降，亚琛战役盟军取得最后胜利。
BattleDes_31309|亚琛城防司令格哈德·维尔克上校放下武器投降，亚琛战役盟军取得最后胜利。
BattleDes_31310|亚琛城防司令格哈德·维尔克上校放下武器投降，亚琛战役盟军取得最后胜利。
BattleDes_31311|亚琛城防司令格哈德·维尔克上校放下武器投降，亚琛战役盟军取得最后胜利。
BattleDes_31312|亚琛城防司令格哈德·维尔克上校放下武器投降，亚琛战役盟军取得最后胜利。
BattleDes_31313|亚琛城防司令格哈德·维尔克上校放下武器投降，亚琛战役盟军取得最后胜利。
BattleDes_31314|亚琛城防司令格哈德·维尔克上校放下武器投降，亚琛战役盟军取得最后胜利。
BattleDes_31315|亚琛城防司令格哈德·维尔克上校放下武器投降，亚琛战役盟军取得最后胜利。
BattleDes_31316|亚琛城防司令格哈德·维尔克上校放下武器投降，亚琛战役盟军取得最后胜利。
BattleDes_31317|亚琛城防司令格哈德·维尔克上校放下武器投降，亚琛战役盟军取得最后胜利。
BattleDes_31318|亚琛城防司令格哈德·维尔克上校放下武器投降，亚琛战役盟军取得最后胜利。
BattleDes_31401|亚琛城防司令格哈德·维尔克上校放下武器投降，亚琛战役盟军取得最后胜利。
BattleDes_31402|亚琛城防司令格哈德·维尔克上校放下武器投降，亚琛战役盟军取得最后胜利。
BattleDes_31403|亚琛城防司令格哈德·维尔克上校放下武器投降，亚琛战役盟军取得最后胜利。
BattleDes_31404|亚琛城防司令格哈德·维尔克上校放下武器投降，亚琛战役盟军取得最后胜利。
BattleDes_31405|亚琛城防司令格哈德·维尔克上校放下武器投降，亚琛战役盟军取得最后胜利。
BattleDes_31406|亚琛城防司令格哈德·维尔克上校放下武器投降，亚琛战役盟军取得最后胜利。
BattleDes_31407|亚琛城防司令格哈德·维尔克上校放下武器投降，亚琛战役盟军取得最后胜利。
BattleDes_31408|亚琛城防司令格哈德·维尔克上校放下武器投降，亚琛战役盟军取得最后胜利。
BattleDes_31409|亚琛城防司令格哈德·维尔克上校放下武器投降，亚琛战役盟军取得最后胜利。
BattleDes_31410|亚琛城防司令格哈德·维尔克上校放下武器投降，亚琛战役盟军取得最后胜利。
BattleDes_31411|亚琛城防司令格哈德·维尔克上校放下武器投降，亚琛战役盟军取得最后胜利。
BattleDes_31412|亚琛城防司令格哈德·维尔克上校放下武器投降，亚琛战役盟军取得最后胜利。
